id;name;activation_status;birth_date;phone_number
1;Cotton;false;2020-10-21;"+++531)29/1-"
2;Ergonomic Fresh Chair Administrator Avon;false;2020-10-21;"+++++8)"
3;Nebraska;false;2020-10-22;"+++(74648"
4;content Sri Lanka Zambia;false;2020-10-21;"60 /"
5;Tasty Solutions teal;false;2020-10-21;"+++++3974644"
6;connect Berkshire;false;2020-10-21;"+++(8846"
7;hard drive Assistant;false;2020-10-21;"+++208588"
8;Developer;true;2020-10-21;"+++(6513)/ 481"
9;Refined Steel Mouse Orchestrator help-desk;false;2020-10-21;"+(855120465"
10;Clothing New York;true;2020-10-21;"++167 8-/2"
